player,oreb,dreb,ast,blk,stl,foul,treb,pts,FG,FGA,3FG,3FGA,FT,FTA,TO,+/-,Minutes
2,1,3,1,0,0,2,4,18,6,12,4,8,2,2,1,15.0,21.266666666666666
3,0,2,5,0,2,1,2,2,1,8,0,5,0,0,1,17.0,19.833333333333332
8,1,4,0,0,0,2,5,4,2,6,0,2,0,0,0,-1.0,12.5
9,0,0,2,0,1,3,0,4,2,6,0,3,0,0,1,10.0,15.299999999999997
12,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,-11.0,17.650000000000002
1,0,2,0,0,1,1,2,1,0,6,0,5,1,3,2,-2.0,21.883333333333336
10,1,2,0,0,0,3,3,9,3,4,0,1,3,4,0,0.0,17.700000000000003
5,0,1,1,0,3,1,1,0,0,2,0,1,0,0,0,2.0,20.933333333333334
7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,-2.0,14.816666666666666
11,3,2,1,0,1,1,5,2,1,4,0,0,0,2,4,-1.0,10.616666666666667
4,2,2,4,0,3,0,4,2,1,3,0,2,0,0,1,25.0,14.849999999999998
13,0,2,0,0,0,1,2,10,4,4,0,0,2,2,0,23.0,12.649999999999999
