player,oreb,dreb,ast,blk,stl,foul,treb,pts,FG,FGA,3FG,3FGA,FT,FTA,TO,+/-,Minutes
2,0,2,1,0,2,1,2,24,7,13,6,8,4,6,4,9.0,22.0
3,2,5,2,0,0,4,7,21,4,10,1,4,12,19,2,-17.0,27.53333333333333
4,0,1,1,0,2,1,1,2,1,5,0,2,0,0,1,-11.0,25.333333333333336
9,0,5,3,1,2,0,5,1,0,1,0,1,1,2,2,6.0,19.599999999999998
13,5,3,3,1,0,3,8,9,4,7,0,0,1,3,5,-15.0,23.683333333333334
5,0,0,1,0,0,4,0,3,1,5,1,5,0,0,1,-4.0,13.016666666666662
8,4,4,3,1,4,3,8,7,2,8,0,3,3,4,3,-14.0,31.68333333333333
11,0,1,0,0,0,3,1,0,0,4,0,2,0,0,1,-10.0,11.116666666666667
10,0,2,0,1,1,4,2,6,3,8,0,3,0,0,2,-13.0,13.25
1,0,0,1,0,1,3,0,0,0,5,0,3,0,0,0,-6.0,11.450000000000003
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.3333333333333357
