quarter,possession_id,time,timestamp,player,event,shotclock,set,additional_tags,lineup
q1,,10:00,,,sub,,,,2/3/4/9/13
,1,9:46,1:34,13,c3z1,10,motion,,
,2,9:30,2:00,-22,c4z1m,12,man,,
,3,9:12,2:25,4,TO,9,wheel,flip,
,4,9:10,2:30,-1,TO,22,transition,,
,5,8:58,3:00,3,c2z3m,12,BLOB stack,,
,6,8:36,3:20,-22,TO,3,zone,,
,7,8:18,3:50,9,c4z7m,9,wheel,flip,
,7,8:06,4:06,5,c2z5m,4,,,
,8,7:56,4:10,-12,c4z3m,17,transition,,
,8,7:49,4:20,-12,c3z1,11,,,
,9,7:40,4:30,13,TO,18,quick,,
,10,7:30,5:05,-1,c2z9m,14,zone,press,
,11,7:13,5:20,9,c3z3,9,motion,,
,,7:00,,,sub,,,,2/3/4/8/13
,12,6:59,5:55,-11,c2z2,14,man,,
,13,6:46,6:10,2,c1z6,17,quick,,
,14,6:33,6:20,-12,c2z1,15,zone,,
,15,6:20,6:35,8,c2z5m,12,quick,,
,15,6:07,7:10,3,c3z2m,5,SLOB,,
,,6:03,,,sub,,,,3/4/5/8/10
,16,5:50,7:55,-2,TO,11,zone,press,
,17,5:41,8:30,5,c3z5,15,quick,,
,18,5:24,8:45,-1,TO,12,zone,press,
,19,5:20,8:50,4,c3z1m,20,transition,,
,19,5:19,8:50,8,c3z1m,19,transition,,
,,5:16,,,sub,,,,2/4/5/8/10 
,20,5:11,9:20,-3,c3z1,19,zone,press,
,20,5:11,9:20,-3,f,,zone,press,
,,5:08,,,sub,,,,2/5/8/10/11
,21,4:58,10:10,2,c4z6m,14,quick,,
,22,4:43,10:25,-12,c3z8m,13,zone,,
,23,4:23,10:45,10,c2z7m,8,motion,,
,24,4:19,11:00,-5,TO,24,zone,press,
,25,4:17,11:00,8,c1z1,22,transition,,
,26,3:54,11:25,-12,c2z7,5,zone,press,
,27,3:38,11:40,10,TO,12,,opp zone,
,28,3:20,12:00,-10,c3z4m,6,zone,,
,29,3:02,12:15,10,c2z6m,8,,,
,30,2:49,12:35,-2,f,,zone,press,
,30,2:49,12:35,-2,f,,zone,press,
,,2:49,,,sub,,,,2/3/8/11/13
,31,2:40,13:35,3,c2z7m,14,,opp press,
,32,2:29,13:45,-10,c2z5,18,transition,,
,33,2:13,14:00,11,c4z3,12,,opp press,
,34,1:55,14:20,-3,c3z6,11,zone,press,
,,1:55,,,sub,,,,2/3/8/9/13
,35,1:41,14:45,8,c2z7m,14,motion,,
,35,1:32,14:50,13,c4z1m,9,,,
,36,1:15,15:15,-11,c3z7m,7,zone,,
,36,1:11,15:20,-22,f,,zone,,
,36,1:11,15:20,-22,mf,,zone,,
,,1:10,,,sub,,,,2/3/4/9/13 
,37,0:57,16:25,3,TO,15,,,
,38,0:52,16:50,-11,f,,transition,,
,38,0:52,16:50,-11,f,,transition,,
,,0:52,,,sub,,,,2/3/4/9/11
,39,0:30,,2,c2z1,1,,,
,,0:23,,,sub,,,,2/3/4/8/9
,40,0:09,,-1,mf,,zone,,
,40,0:09,,-1,f,,zone,,
,41,,,3,TO,3,,,
q2,,10:00,,,sub,,,,2/3/4/8/9
,42,9:50,,-1,TO,14,zone,,
,43,,,2,c3z7m,12,wheel,flip,
,44,,,-22,TO,21,transition,,
,45,9:27,,9,c2z7m,19,transition,,
,45,,,8,TO,12,,,
,46,,,-11,c4z1m,12,zone,,
,47,,,8,TO,19,,,
,48,,,-7,c3z1,5,zone,,
,49,,,2,c2z6,12,,,
,50,,,-7,TO,9,zone,press,
,51,8:06,,2,c2z7m,9,,,
,52,,,-1,TO,19,zone,,
,53,,,2,c4z1,3,motion,,
,54,,,-11,c1z1,8,zone,press,
,55,7:05,,4,TO,15,,opp press,
,56,,,-12,c2z1,21,transition,,
,57,,,2,c2z3,9,,opp press,
