quarter,possession_id,time,timestamp,player,event,shotclock,set,additional_tags,lineup
q1,,10:00,,,sub,,,,2/3/4/9/13
,1,9:41,6:50,4,mf,,wheel,ghost,
,1,9:41,6:50,4,mf,,wheel,ghost,
,2,8:51,8:40,-21,TO,1,zone,half,
,3,8:38,8:50,2,c4z6m,10,motion,#9 flip miami,
,4,8:23,9:25,-11,c3z4,10,zone,,
,5,8:13,9:35,9,c2z1,20,quick,,
,6,7:58,9:50,-21,c3z3m,14,zone,press,
,7,7:39,10:10,3,c3z7m,10,post up #13,,
,7,7:23,10:25,9,c4z1m,6,post up #9,*,
,8,7:02,10:40,-13,c2z9m,8,zone,*,
,8,6:58,10:50,-10,c4z1m,6,zone,*,
,8,6:56,10:50,-21,c2z1m,6,zone,*,
,8,6:43,11:05,-21,c3z3m,4,zone,*,
,,6:40,,,sub,,,,1/2/8/10/13
,8,6:33,11:30,-15,c4z5,8,zone,*,
,9,6:29,11:40,10,c4z1m,20,quick,blocked,
,9,6:17,12:10,8,c3z9,8,BLOB cross,,
,10,6:03,12:25,-15,c3z3,14,zone,press,
,11,5:56,12:30,2,TO,20,quick,*,
,12,5:49,12:38,-5,c2z6m,18,transition,,
,,5:36,,,sub,,,,1/5/8/10/13
,13,5:26,13:20,8,mf,,BLOB,,
,13,5:26,13:20,8,f,,BLOB,,
,,5:26,,,sub,,,,1/5/8/10/11
,14,5:25,14:20,-12,c3z8m,18,zone,press,
,15,5:11,14:35,10,c3z2m,10,motion,,
,16,4:51,15:10,-5,c2z2,4,zone,,
,17,4:36,15:25,8,c4z1,10,wheel,flip,
,18,4:12,15:50,-5,c3z9m,4,zone,press,
,,4:07,,,sub,,,,5/7/8/10/11
,19,3:58,16:30,5,c2z6,15,,opp zone * good zone break,
,20,3:31,16:50,-7,c3z6m,7,zone,press * good recovery #7,
,21,3:19,17:00,5,c2z5,17,transition,opp zone * good zone break,
,22,3:01,17:20,-10,TO,11,zone,press,
,,3:01,,,sub,,,,5/7/8/11/12
,23,2:42,17:55,8,c4z1m,3,wheel,flip,
,23,2:37,17:55,12,c4z1,4,wheel,flip,
,24,2:24,20:00,-10,c4z1m,11,zone,half,
,24,2:20,20:05,-10,c2z5m,6,zone,half,
,25,2:09,20:15,5,c2z7,15,motion,,
,26,1:49,20:35,-13,f,,zone,press,
,26,1:49,20:35,-13,f,,zone,press,
,26,1:49,20:35,-13,f,,zone,press,
,,1:49,,,sub,,,,5/6/7/11/12
,27,1:24,22:15,12,mf,,wheel,flip,
,27,1:24,22:15,12,f,,wheel,flip,
,28,1:04,23:10,-6,TO,4,zone,press,
,29,0:57,23:20,5,c3z7m,19,transition,,
,30,0:29,24:20,-6,TO,6,zone,press,
,31,0:04,26:35,12,c4z1m,4,,,
,31,0:02,26:40,6,c4z4m,2,,,
q2,,10:00,,,sub,,,,2/3/4/9/13
,32,9:30,30:50,-7,c3z6m,1,zone,half,
,32,9:28,30:50,-14,c2z1m,1,zone,*,
,32,9:21,31:20,-9,c3z7m,6,zone,,
,33,9:14,31:25,3,c4z1,20,transition,,
,33,9:14,31:25,3,f,,transition,,
,34,8:43,32:30,-21,c4z1m,1,zone,press,
,35,8:30,32:55,13,c4z1,16,,,
,36,8:17,33:05,-6,TO,19,zone,press,
,37,8:08,33:45,3,c2z8m,12,motion,,
,38,7:54,33:55,-7,TO,18,zone,press,
,39,7:48,34:05,13,c3z1,19,transition,,
,40,7:34,34:20,-5,f,,zone,press,
,40,7:34,34:20,-5,f,,zone,press,
,41,7:17,35:05,4,c1z5m,8,motion,,
,41,7:12,35:10,13,c4z1m,6,motion,,
,42,7:08,35:15,-5,TO,23,,* good hustle #4,
,43,6:59,35:40,2,c2z4m,8,motion,,
,,6:43,,,sub,,,,1/3/8/10/11
,44,6:30,36:50,-21,c4z1m,11,zone,,
,44,6:28,36:50,-21,f,,zone,,
,44,6:28,36:50,-21,f,,zone,,
,45,6:14,38:05,11,c3z1,14,,opp zone,
,46,5:59,38:35,-13,TO,14,zone,,
,47,5:42,39:05,11,c2z1,7,wheel,flip,
,48,5:20,39:20,-6,TO,18,zone,press,
,49,5:11,39:35,8,TO,13,motion,,
,,5:05,,,sub,,,,1/5/8/10/11
,50,4:46,40:20,-7,c3z3,5,zone,,
,51,4:27,40:40,5,c3z6m,14,,opp zone,
,52,4:16,40:50,-11,c3z1m,19,transition,,
,52,4:14,40:55,-5,c3z1,14,transition,,
,,3:54,,,sub,,,,1/5/8/11/12
