quarter,possession_id,time,timestamp,player,event,shotclock,set,additional_tags,lineup
q1,,10:00,,,sub,,,,2/3/4/9/13
,1,9:47,,-8,TO,11,zone,,
,2,9:35,,4,c2z9m,13,wheel,cross screen to get post up,
,3,9:21,,-8,c3z2,15,zone,press,
,4,9:10,,13,TO,18,quick,,
,5,8:54,,-2,c3z6m,8,zone,,
,5,8:48,,-5,TO,10,zone,,
,6,8:33,,2,TO,10,BLOB cross,,
,7,8:15,,-5,c2z7,7,zone,,
,8,7:51,,13,TO,5,,,
,9,7:42,,-3,c2z7m,15,zone,,
,10,7:25,,2,c4z1m,10,,,
,10,7:22,,13,c4z1,12,,,
,11,7:06,,-3,c3z6m,12,zone,,
,12,6:51,,9,c2z6m,13,motion,,
,13,6:42,,-8,c2z8,19,transition,,
,,6:29,,,sub,,,,2/4/5/8/13
,14,6:20,,2,c3z1m,8,,,
,15,6:08,,-1,TO,20,transition,,
,16,5:56,,13,c3z1m,9,motion,,
,16,5:53,,8,c2z3,12,motion,,
,17,5:48,,-6,TO,18,zone,,
,18,5:37,,2,f,,transition,,
,18,5:37,,2,f,,transition,,
,,5:37,,,sub,,,,3/4/5/8/11
,19,5:30,,-7,c4z1,17,zone,,
,19,5:30,,-7,f,,zone,,
,20,5:18,,5,c2z7m,13,wheel,,
,20,5:04,,8,c3z5m,3,,,
,21,4:56,,-10,c2z6m,20,transition,,
,22,4:44,,5,TO,16,transition,,
,,4:44,,,sub,,,,3/5/8/10/11
,23,4:36,,-10,c3z9m,16,zone,,
,23,4:28,,-10,TO,11,zone,charge drawn #8,
,24,4:18,,8,c4z1m,9,,blocked,
,24,4:18,,5,c2z6m,9,BLOB cross,,
,25,4:01,,-1,c3z6,16,transition,,
,25,4:01,,-1,mf,,transition,,
,26,3:39,,10,c1z5m,6,,,
,26,3:32,,8,TO,11,,,
,,3:28,,,sub,,,,3/5/8/10/13
,27,3:20,,-9,c3z9m,12,zone,,
,28,3:08,,13,mf,,quick,,
,28,3:08,,13,f,,quick,,
,,3:08,,,sub,,,,2/3/8/10/13
,29,2:54,,-8,c4z5m,10,zone,,
,29,2:47,,-8,mf,,zone,,
,29,2:47,,-8,f,,zone,,
,30,2:42,,10,c2z1,19,quick,opp press,
,31,2:14,,-3,c4z6m,1,zone,,
,32,2:07,,3,c4z1m,21,transition,,
,33,1:59,,-3,c4z1,19,transition,,
,34,1:43,,2,c3z8m,15,BLOB stack,,
,35,1:26,,-3,mf,,zone,,
,35,1:26,,-3,f,,zone,,
,35,1:26,,-3,f,,zone,,
,,1:26,,,sub,,,,2/3/4/9/13
,36,1:17,,3,f,,,,
,36,1:17,,3,mf,,,,
,36,1:15,,13,c4z1m,13,,,
,36,1:14,,3,c4z1m,12,,,
,37,1:10,,-3,f,,,,
,37,1:10,,-3,f,,,,
,,1:10,,,sub,,,,2/3/4/9/11
,38,1:02,,3,mf,,,,
,38,1:02,,3,f,,,,
,38,1:02,,3,f,,,,
,39,0:51,,-1,c3z2m,13,zone,,
,39,0:39,,-1,TO,11,zone,,
,40,0:34,,3,f,,,,
,40,0:34,,3,mf,,,,
,41,0:25,,-2,mf,,zone,,
,41,0:25,,-2,f,,zone,,
,,0:25,,,sub,,,,2/3/4/8/9
,42,0:06,,2,c2z6m,6,,,
,42,0:01,,3,c2z8,1,,,
q2,,10:00,,,sub,,,,2/3/4/8/9
,43,9:54,,-1,TO,19,zone,,
,44,9:38,,3,c4z3,8,wheel,,
,44,9:38,,3,f,,wheel,,
,45,9:27,,-9,c4z2m,16,zone,,
,45,9:16,,-1,TO,4,zone,,
,46,8:57,,3,c3z5m,8,,,
,47,8:46,,-1,c2z5m,17,transition,,
,48,8:34,,2,c2z7,18,transition,,
,,8:18,,,sub,,,,2/3/4/8/11
,49,8:10,,-3,f,,zone,,
,49,8:10,,-3,f,,zone,,
,,8:10,,,sub,,,,2/4/5/8/11
,50,7:46,,2,c3z6,1,,,
,50,7:46,,2,f,,,,
,51,7:36,,-3,c3z3,17,zone,,
,52,7:15,,2,TO,10,wheel,charge,
,53,7:10,,-7,c1z1,20,zone,press,
,54,6:56,,5,c4z7m,13,wheel,flip,
,55,6:51,,-3,c4z1m,21,transition,,
,55,6:47,,-3,c2z5m,17,zone,,
,56,6:33,,11,TO,15,wheel,,
,57,6:26,,-5,TO,21,transition,,
,58,6:06,,11,c4z3m,4,,,
,59,5:59,,-1,f,,transition,,
,59,5:59,,-1,mf,,transition,,
,,5:59,,,sub,,,,2/5/8/9/10
,59,5:52,,-10,TO,10,zone,,
,60,5:34,,2,f,,motion,,
,60,5:34,,2,mf,,motion,,
,61,5:27,,-3,c3z3m,17,zone,,
,61,5:17,,-3,TO,13,zone,,
,62,5:08,,10,c3z1,18,transition,,
,63,5:01,,-1,f,,zone,press,
,63,5:01,,-1,mf,,zone,press,
,64,4:52,,5,c3z9,19,transition,,
,65,4:47,,-3,f,,,technical ft,
,65,4:36,,-3,c3z7,12,zone,,
,66,4:30,,2,mf,,,technical ft,
,66,4:12,,10,c3z1m,6,motion,,
,67,4:08,,-7,TO,20,transition,,
,68,4:01,,2,c1z1,22,transition,,
,69,4:45,,-7,c2z9,12,zone,,
,70,3:41,,8,f,,,,
,70,3:41,,8,f,,,,
,71,3:31,,-2,c4z3,14,zone,,
,72,3:30,,8,mf,,,technical ft,
,72,3:17,,2,c4z1m,14,,,
,73,3:10,,-11,TO,19,zone,press,
,74,3:06,,10,c3z1m,21,transition,,
,,3:02,,,sub,,,,1/2/8/9/10
,75,2:43,,-10,c2z7m,11,zone,,
,75,2:41,,-10,f,,zone,,
,75,2:41,,-10,mf,,zone,,
,76,2:20,,10,c2z7m,3,motion,,
,,2:16,,,sub,,,,1/2/8/9/11
,77,2:12,,-2,TO,20,zone,press,
,78,2:08,,8,c3z1m,20,transition,,
,78,2:03,,8,c3z1,13,transition,,
,78,2:03,,8,f,,transition,,
,79,1:47,,-11,TO,10,zone,press,
,80,1:30,,2,c4z2m,11,,,
,81,1:25,,-7,f,,transition,,
,81,1:25,,-7,f,,transition,,
,82,1:16,,1,c3z5m,15,quick,,
,83,1:08,,-1,c3z2m,16,zone,,
,84,0:52,,11,c4z1m,15,,,
,85,0:43,,-2,TO,17,transition,,
,86,0:32,,2,c2z7,13,wheel,flip,
,87,0:04,,-9,c4z1m,3,zone,,
,87,0:01,,-11,c3z2m,1,zone,,
q3,,10:00,,,sub,,,,2/3/4/9/13
,88,10:00,,3,f,,,technical ft?,
,88,10:00,,3,f,,,technical ft?,
,89,9:40,,-7,c2z3m,4,zone,,
,90,9:11,,2,TO,1,,,
,91,8:59,,-11,c3z2,12,zone,,
,92,8:36,,3,c3z7m,6,motion,,
,93,8:12,,-1,c3z1m,12,zone,,
,94,8:05,,2,c3z5,12,motion,,
,95,7:59,,-5,c2z9,21,zone,,
,96,7:47,,2,c2z8,18,quick,,
,97,7:31,,-1,c3z3,13,zone,,
,98,7:13,,9,TO,13,BLOB stack,,
,99,6:56,,-7,TO,8,zone,,
,100,6:44,,3,c3z3m,12,motion,,
,100,6:40,,2,c2z9,13,motion,,
,101,6:30,,-3,c2z7m,17,zone,,
,102,6:13,,2,TO,11,,,
,,6:13,,,sub,,,,2/4/5/8/13
,103,6:02,,-1,c2z7m,13,zone,,
,104,5:34,,13,TO,2,motion,,
,,5:31,,,sub,,,,3/5/8/10/13
,105,5:16,,-6,TO,8,zone,,
,106,5:11,,13,c2z1,21,transition,,
,107,5:00,,-3,c4z1m,18,zone,,
,107,4:56,,-3,TO,14,zone,,
,108,4:33,,10,TO,3,,,
,109,4:19,,-7,TO,13,zone,,
,110,4:08,,3,f,,transition,,
,110,4:08,,3,f,,transition,,
,,4:08,,,sub,,,,3/5/8/10/11
,111,3:51,,-7,c4z1,8,zone,,
,112,3:25,,11,c4z6m,1,,,
,113,3:18,,-3,c4z1m,20,zone,,
,113,3:11,,-3,c4z2m,13,zone,,
,,3:05,,,sub,,,,1/3/8/10/11
,113,2:55,,-6,c4z1,7,zone,*,
,114,2:31,,3,f,,,,
,114,2:31,,3,mf,,,,
,115,2:21,,-3,c3z1m,18,transition,,
,116,2:04,,3,f,,,,
,116,2:04,,3,mf,,,,
,117,2:00,,-6,c4z1m,20,transition,,
,118,1:53,,1,c2z4m,19,transition,,
,119,1:35,,-1,c2z6,13,zone,,
,120,1:18,,10,c4z1,12,motion,,
,121,1:10,,-6,f,,,,
,121,1:10,,-6,mf,,,,
,121,1:08,,-2,f,,,,
,121,1:08,,-2,mf,,,,
,,1:08,,,sub,,,,1/3/8/11/13
,122,0:47,,11,c3z8m,1,,,
,122,0:40,,1,c2z3m,13,,,
,123,0:30,,-9,f,,transition,,
,123,0:30,,-9,f,,transition,,
,,0:30,,,sub,,,,1/3/8/9/13
,124,0:08,,9,mf,,,,
,124,0:08,,9,f,,,,
,,0:08,,,sub,,,,3/4/8/9/13
q4,,10:00,,,sub,,,,3/4/8/9/13
,125,9:46,,13,TO,11,BLOB stack,,
,126,9:44,,-9,TO,22,transition,,
,127,9:25,,8,c2z6m,6,,,
,,9:21,,,sub,,,,4/5/8/9/13
,128,9:16,,-3,c2z7,18,zone,,
,129,8:48,,5,c4z6m,7,,,
,130,8:42,,3,c2z9m,21,transition,,
,131,8:40,,9,TO,22,transition,,
,132,8:35,,-3,TO,18,transition,,
,133,8:32,,4,c2z3m,22,quick,,
,134,8:24,,-8,c4z1m,18,transition,,
,135,8:05,,13,c4z2m,8,,,
