lineup|quarter|Q_points|Opp_points|Score_margin|Time_in|Time_in_elapsed|Time_out|Time_out_elapsed|+/-|Shift_length
['2', '3', '4', '9', '13']|q1|4.0|2.0|2.0|10:00|0.0|07:00|3.0|2|3.0
['2', '3', '4', '8', '13']|q1|7.0|7.0|0.0|07:00|3.0|06:03|3.95|-2|0.9500000000000002
['3', '4', '5', '8', '10']|q1|10.0|7.0|3.0|06:03|3.95|05:16|4.733333333333333|3|0.7833333333333332
['2', '4', '5', '8', '10 ']|q1|10.0|10.0|0.0|05:16|4.733333333333333|05:08|4.866666666666666|-3|0.13333333333333286
['2', '5', '8', '10', '11']|q1|12.0|15.0|-3.0|05:08|4.866666666666666|02:49|7.183333333333334|-3|2.3166666666666673
['2', '3', '8', '11', '13']|q1|14.0|18.0|-4.0|02:49|7.183333333333334|01:55|8.083333333333334|-1|0.9000000000000004
['2', '3', '8', '9', '13']|q1|14.0|19.0|-5.0|01:55|8.083333333333334|01:10|8.833333333333334|-1|0.75
['2', '3', '4', '9', '13 ']|q1|14.0|21.0|-7.0|01:10|8.833333333333334|00:52|9.133333333333333|-2|0.29999999999999893
['2', '3', '4', '9', '11']|q1|16.0|21.0|-5.0|00:52|9.133333333333333|00:23|9.616666666666667|2|0.4833333333333343
['2', '3', '4', '8', '9']|q1|16.0|22.0|-6.0|00:23|9.616666666666667|00:00|10.0|-1|0.38333333333333286
['2', '3', '4', '8', '9']|q2|23.0|28.0|-5.0|10:00|10.0|06:13|13.783333333333333|1|3.783333333333333
['2', '4', '5', '8', '9']|q2|29.0|28.0|1.0|06:13|13.783333333333333|05:45|14.25|6|0.4666666666666668
['2', '4', '5', '8', '11']|q2|31.0|30.0|1.0|05:45|14.25|03:58|16.033333333333335|0|1.783333333333335
['2', '4', '5', '10', '11']|q2|33.0|30.0|3.0|03:58|16.033333333333335|03:15|16.75|2|0.716666666666665
['3', '4', '5', '10', '11']|q2|35.0|30.0|5.0|03:15|16.75|02:47|17.216666666666665|2|0.466666666666665
['2', '3', '5', '10', '11']|q2|39.0|34.0|5.0|02:47|17.216666666666665|01:03|18.95|0|1.7333333333333343
['2', '3', '5', '9', '11']|q2|39.0|39.0|0.0|01:03|18.95|00:00|20.0|-5|1.0500000000000007
['2', '3', '4', '9', '13']|q3|44.0|42.0|2.0|10:00|20.0|06:25|23.583333333333332|2|3.583333333333332
['2', '4', '5', '8', '13']|q3|45.0|42.0|3.0|06:25|23.583333333333332|04:53|25.116666666666667|1|1.533333333333335
['2', '4', '5', '8', '11']|q3|47.0|42.0|5.0|04:53|25.116666666666667|04:25|25.583333333333332|2|0.466666666666665
['2', '3', '5', '8', '11']|q3|54.0|45.0|9.0|04:25|25.583333333333332|02:16|27.733333333333334|4|2.150000000000002
['2', '3', '5', '8', '13']|q3|56.0|45.0|11.0|02:16|27.733333333333334|01:25|28.583333333333332|2|0.8499999999999979
['2', '3', '5', '8', '11']|q3|59.0|47.0|12.0|01:25|28.583333333333332|00:00|30.0|1|1.4166666666666679
['2', '3', '4', '9', '13']|q4|60.0|50.0|10.0|10:00|30.0|08:10|31.833333333333332|-2|1.8333333333333321
['3', '4', '5', '9', '13']|q4|60.0|50.0|10.0|08:10|31.833333333333332|07:31|32.483333333333334|0|0.6500000000000021
['3', '5', '8', '9', '13']|q4|64.0|50.0|14.0|07:31|32.483333333333334|06:21|33.65|4|1.1666666666666643
['2', '3', '5', '8', '13']|q4|69.0|52.0|17.0|06:21|33.65|04:50|35.166666666666664|3|1.5166666666666657
['2', '4', '5', '8', '13']|q4|69.0|55.0|14.0|04:50|35.166666666666664|03:06|36.9|-3|1.7333333333333343
['2', '5', '8', '9', '13']|q4|72.0|60.0|12.0|03:06|36.9|00:00|40.0|-2|3.1000000000000014
