lineup|quarter|Q_points|Opp_points|Score_margin|Time_in|Time_in_elapsed|Time_out|Time_out_elapsed|+/-|Shift_length
['2', '3', '4', '9', '13']|q1|8.0|8.0|0.0|10:00|0.0|07:07|2.8833333333333333|0|2.8833333333333333
['2', '3', '4', '11', '13']|q1|12.0|13.0|-1.0|07:07|2.8833333333333333|05:09|4.85|-1|1.9666666666666663
['2', '5', '8', '10', '11']|q1|17.0|15.0|2.0|05:09|4.85|03:41|6.316666666666666|3|1.4666666666666668
['1', '2', '8', '10', '11']|q1|17.0|17.0|0.0|03:41|6.316666666666666|03:29|6.516666666666667|-2|0.20000000000000018
['1', '2', '8', '10', '13']|q1|21.0|19.0|2.0|03:29|6.516666666666667|01:58|8.033333333333333|2|1.5166666666666666
['1', '2', '7', '12', '13']|q1|23.0|21.0|2.0|01:58|8.033333333333333|00:00|10.0|0|1.9666666666666668
['3', '4', '5', '12', '13']|q2|25.0|23.0|2.0|10:00|10.0|08:55|11.083333333333334|0|1.083333333333334
['3', '4', '5', '9', '13']|q2|25.0|23.0|2.0|08:55|11.083333333333334|07:36|12.4|0|1.3166666666666664
['2', '3', '4', '9', '13']|q2|30.0|23.0|7.0|07:36|12.4|06:01|13.983333333333333|5|1.5833333333333321
['2', '3', '4', '9', '11']|q2|35.0|26.0|9.0|06:01|13.983333333333333|04:08|15.866666666666667|2|1.8833333333333346
['1', '2', '8', '9', '11']|q2|35.0|26.0|9.0|04:08|15.866666666666667|02:26|17.566666666666666|0|1.6999999999999993
['1', '2', '8', '9', '10']|q2|42.0|31.0|11.0|02:26|17.566666666666666|00:00|20.0|2|2.4333333333333336
['2', '3', '4', '9', '13']|q3|50.0|36.0|14.0|10:00|20.0|06:38|23.366666666666667|3|3.366666666666667
['2', '3', '8', '10', '13']|q3|50.0|41.0|9.0|06:38|23.366666666666667|05:26|24.566666666666666|-5|1.1999999999999993
['3', '5', '8', '10', '11']|q3|50.0|44.0|6.0|05:26|24.566666666666666|04:03|25.95|-3|1.3833333333333329
['2', '5', '8', '9', '11']|q3|54.0|49.0|5.0|04:03|25.95|00:00|30.0|-1|4.050000000000001
['1', '3', '7', '10', '13']|q4|55.0|49.0|6.0|10:00|30.0|07:23|32.61666666666667|1|2.616666666666667
['2', '3', '7', '10', '13']|q4|57.0|49.0|8.0|07:23|32.61666666666667|06:06|33.9|2|1.2833333333333314
['2', '3', '4', '9', '11']|q4|62.0|49.0|13.0|06:06|33.9|04:20|35.666666666666664|5|1.7666666666666657
['2', '4', '8', '9', '11']|q4|62.0|49.0|13.0|04:20|35.666666666666664|03:10|36.833333333333336|0|1.1666666666666714
['2', '4', '8', '10', '13']|q4|73.0|51.0|22.0|03:10|36.833333333333336|00:00|40.0|9|3.1666666666666643
