lineup|quarter|Q_points|Opp_points|Score_margin|Time_in|Time_in_elapsed|Time_out|Time_out_elapsed|+/-|Shift_length
['2', '3', '4', '9', '13']|q1|2.0|8.0|-6.0|10:00|0.0|06:29|3.5166666666666666|-6|3.5166666666666666
['2', '4', '5', '8', '13']|q1|6.0|8.0|-2.0|06:29|3.5166666666666666|05:37|4.383333333333334|4|0.8666666666666671
['3', '4', '5', '8', '11']|q1|6.0|11.0|-5.0|05:37|4.383333333333334|04:44|5.266666666666667|-3|0.8833333333333329
['3', '5', '8', '10', '11']|q1|6.0|14.0|-8.0|04:44|5.266666666666667|03:28|6.533333333333333|-3|1.2666666666666666
['3', '5', '8', '10', '13']|q1|7.0|14.0|-7.0|03:28|6.533333333333333|03:08|6.866666666666666|1|0.33333333333333304
['2', '3', '8', '10', '13']|q1|9.0|19.0|-10.0|03:08|6.866666666666666|01:26|8.566666666666666|-3|1.7000000000000002
['2', '3', '4', '9', '13']|q1|10.0|21.0|-11.0|01:26|8.566666666666666|01:10|8.833333333333334|-1|0.2666666666666675
['2', '3', '4', '9', '11']|q1|13.0|22.0|-9.0|01:10|8.833333333333334|00:25|9.583333333333334|2|0.75
['2', '3', '4', '8', '9']|q1|16.0|22.0|-6.0|00:25|9.583333333333334|00:00|10.0|3|0.4166666666666661
['2', '3', '4', '8', '9']|q2|22.0|22.0|0.0|10:00|10.0|08:18|11.7|6|1.6999999999999993
['2', '3', '4', '8', '11']|q2|22.0|24.0|-2.0|08:18|11.7|08:10|11.833333333333334|-2|0.13333333333333464
['2', '4', '5', '8', '11']|q2|26.0|29.0|-3.0|08:10|11.833333333333334|05:59|14.016666666666667|-1|2.1833333333333336
['2', '5', '8', '9', '10']|q2|36.0|39.0|-3.0|05:59|14.016666666666667|03:02|16.966666666666665|0|2.9499999999999975
['1', '2', '8', '9', '10']|q2|36.0|40.0|-4.0|03:02|16.966666666666665|02:16|17.733333333333334|-1|0.7666666666666693
['1', '2', '8', '9', '11']|q2|42.0|42.0|0.0|02:16|17.733333333333334|00:00|20.0|4|2.2666666666666657
['2', '3', '4', '9', '13']|q3|53.0|49.0|4.0|10:00|20.0|06:13|23.783333333333335|4|3.783333333333335
['2', '4', '5', '8', '13']|q3|53.0|49.0|4.0|06:13|23.783333333333335|05:31|24.483333333333334|0|0.6999999999999993
['3', '5', '8', '10', '13']|q3|57.0|49.0|8.0|05:31|24.483333333333334|04:08|25.866666666666667|4|1.3833333333333329
['3', '5', '8', '10', '11']|q3|57.0|51.0|6.0|04:08|25.866666666666667|03:05|26.916666666666668|-2|1.0500000000000007
['1', '3', '8', '10', '11']|q3|61.0|58.0|3.0|03:05|26.916666666666668|01:08|28.866666666666667|-3|1.9499999999999993
['1', '3', '8', '11', '13']|q3|61.0|60.0|1.0|01:08|28.866666666666667|00:30|29.5|-2|0.6333333333333329
['1', '3', '8', '9', '13']|q3|62.0|60.0|2.0|00:30|29.5|00:08|29.866666666666667|1|0.36666666666666714
['3', '4', '8', '9', '13']|q3|62.0|60.0|2.0|00:08|29.866666666666667|00:00|30.0|0|0.13333333333333286
['3', '4', '8', '9', '13']|q4|62.0|60.0|2.0|10:00|30.0|09:21|30.65|0|0.6499999999999986
['4', '5', '8', '9', '13']|q4|62.0|64.0|-2.0|09:21|30.65|07:57|32.05|-4|1.3999999999999986
['3', '4', '8', '9', '13']|q4|62.0|66.0|-4.0|07:57|32.05|07:19|32.68333333333333|-2|0.6333333333333329
['3', '4', '8', '10', '13']|q4|62.0|72.0|-10.0|07:19|32.68333333333333|05:28|34.53333333333333|-6|1.8500000000000014
['1', '3', '4', '8', '13']|q4|69.0|84.0|-15.0|05:28|34.53333333333333|01:20|38.666666666666664|-5|4.133333333333333
['1', '4', '7', '8', '13']|q4|73.0|88.0|-15.0|01:20|38.666666666666664|00:00|40.0|0|1.3333333333333357
